timestamp,price,amount
1413359040,398.12,29170800
1413445440,393.29,22717700
1413532140,383.64,27166400
1413618540,381.08,12212000
1413704940,392.85,10739300
1413791340,383.06,10756000
1413877740,384.58,12364500
1413964140,386.88,13673100
1414050540,372.73,17585100
1414136940,359.32,26078800
1414223340,353.78,11412600
1414309740,353.12,18694600
1414396140,352.45,11246700
1414482540,357.4,11300400
1414568940,357.24,9242650
1414655340,339.99,18100400
1414741742,345.47,30504900
1414830240,329.2,13051700
1414920240,324.97,14924400
1415006640,330.6,11521900
1415093040,326.2,11751100
1415179440,336.67,19286300
1415265840,340.38,14306600
1415352240,347.63,21476500
1415438640,343.49,12863700
1415525040,349.13,8986690
1415611440,359.94,27680000
1415697840,367.83,28463300
1415784240,378.63,24770100
1415870640,438.29,56181200
1415957040,384.98,50115300
1416043440,395.16,21078200
1416129840,386.85,16106500
1416216240,409.75,16070300
1416302640,383.82,38354100
1416389040,383.49,29857500
1416475440,364.93,19831600
1416561840,353.1,32556100
1416648240,358.65,19217500
1416734640,357.06,13627800
1416821040,374.57,20411700
1416907440,393.18,37715600
1416994440,369.1,23969000
1417080840,372.33,13810000
1417167240,363.23,8975370
1417253640,378.91,23364500
1417340040,381.01,15209100
1417426440,379.97,10378200
1417512840,380.98,9498540
1417599240,376.3,14703500
1417685640,375.68,10953200
1417772040,372.94,16648800
1417858440,374.45,13845300
1417944840,374.86,5203160
1418031241,366.66,11303400
1418117640,350.73,26598300
1418204040,350.04,22528900
1418318340,356.6,30111200
1418519640,346.57,11520000
1418606040,351.14,12529200
1418692440,345.42,17056100
1418779140,333.95,33660700
1418865540,321.42,35926800
1418951940,311.42,38813200
1419038340,316.63,24132400
1419124740,328.89,20527400
1419211140,322.02,15135800
1419297541,333.14,22555300
1419383940,334.25,16507000
1419470340,318.07,15342100
1419556741,317.81,8810470
1419643141,324.88,17020700
1419729541,316.56,15154700
1419815940,319.85,11498400
1419902340,314.02,11845700
1419988741,310.6,12641000
1420075141,317.85,14735500
1420161540,313.64,7357240
1420247940,314.87,7527960
1420334340,281.25,40380500
1420420741,266.72,50461000
1420507141,274.17,42998700
1420593541,283.24,23432800
1420679940,293.75,23937900
1420766341,282.51,20820300
1420883941,277.86,20143400
1420970341,274.7,12829400
1421056741,267.99,19795400
1421143141,244.57,41429300
1421229541,207.81,93162800
1421315941,204.95,91475500
1421402341,218.09,67025900
1421488741,197.24,34996100
1421575141,210.52,24061100
1421661541,208.28,25465800
1421747941,209.4,19592800
1421834340,213.69,20690600
1421920741,230.93,40893900
1422007141,226.65,25219600
1422093540,232.93,20361000
1422179941,246.35,33069300
1422266341,299.41,81196500
1422352740,258.22,70619600
1422439141,262.19,34247900
1422525541,230.43,43508400
1422611941,232.81,31829600
1422698341,232.03,25346300
1422785341,212.72,24334500
1422871760,224.71,31246600
1422958161,239.54,36332300
1423044859,223.53,33992500
1423131259,225.92,23692900
1423217660,218.89,26365500
1423304065,228.92,21780900
1423390460,227.46,20797900
1423476860,222.53,18216200
1423563560,216.43,27372800
1423649960,220.59,20340000
1423736360,219.14,15739200
1423822761,234.85,29622000
1423909161,247.85,44247500
1423995862,262.74,49514700
1424082560,237.53,54148100
1424168959,237.71,21836300
1424255360,241.63,26956700
1424341759,236.83,23018300
1424428162,246.18,26552600
1424514560,243.83,17259000
1424601859,245.21,10562100
1424688260,234.57,19577300
1424774660,236.6,16265700
1424861061,235.82,14637600
1424947460,236.16,13217700
1425033859,251.8,33055600
1425127459,252.86,21834700
1425213860,246.1,13160000
1425300260,258.83,31189800
1425386660,270.3,47071400
1425493759,282.03,41830800
1425580460,267.15,43572800
1425666859,271.08,34987800
1425753560,276.15,16971200
1425839961,274.76,19336300
1425926959,286.62,46666500
1426013659,295.16,76764800
1426100059,296.14,38232300
1426186460,296.53,32916700
1426273160,287.69,29543100
1426359860,282.99,23929700
1426446261,284.2,13318900
1426532662,291.02,21759900
1426619062,287.96,19490700
1426705462,266.85,44360200
1426792161,259.82,57262100
1426878861,260.66,30548100
1426965561,260.48,17154700
1427051961,262.74,11223900
1427138362,263.1,24415300
1427224762,246.76,40210000
1427311162,245.09,38844000
1427397559,253.25,23922800
1427483961,248.41,20704500
1427570361,251.69,15915400
1427658261,244.8,19139800
1427750959,247.84,23951900
1427838862,245.58,21934000
1427939961,247.92,23139000
1428026361,253.18,25777000
1428113361,255.07,23106500
1428199761,253.2,12020200
1428286461,261.58,20635600
1428372861,252.69,20589300
1428459262,253.04,16708000
1428546861,244.85,30345500
1428633261,242.77,21044800
1428719661,236.27,29354300
1428806061,237.32,16269700
