timestamp,price,amount
1515276000,17031.64,1707.90494342
1515283200,16908.5292,1814.84614612
1515290400,16669.6099,1817.33193666
1515297600,16547.4781,1992.8247072
1515304800,16659.0836,2424.68468904
1515312000,16642.8951,2136.907465
1515319200,16652.9318,2045.83606314
1515326400,16395.6076,2367.11476322
1515326400,16395.6076,2367.11476322
1515333600,16484.5069,1802.17741456
1515340800,15921.1587,2526.40135874
1515348000,16125.7822,1466.44225866
1515355200,16194.1708,1185.20241214
1515362400,16224.2107,1073.3962951
1515369600,15876.1536,3034.98124796
1515376800,15754.0572,3509.68469292
1515384000,15878.408,3418.54112258
1515391200,15958.4386,2102.675693
1515398400,15070.9178,4448.44806992
1515405600,15430.4587,4497.34572554
1515412800,14747.9998,4552.17183388
1515420000,14368.7638,8391.98886128
1515427200,14715.4917,4578.4246428
1515434400,15094.6354,3001.89875904
1515441600,14817.9998,3092.1461959
1515448800,14858.3432,2692.74108668
1515456000,15207.9802,2327.04979912
1515463200,15171.3998,2156.39171768
1515470400,14879.45,4065.11056264
1515477600,15024.6434,2530.61307236
1515484800,14721.1827,2024.70608532
1515492000,14626.6698,4876.87736736
1515499200,14134,4142.89478146
1515506400,14633.7837,4195.70608632
1515513600,14939.0331,1937.24189396
1515520800,14715.5383,1251.46315944
1515528000,14489.2448,1240.60756928
1515535200,14390.311,2928.40090122
1515542400,14117.8676,3734.28502418
1515549600,14053.6457,3015.02879704
1515556800,14127.32,4099.5068465
1515564000,14105.6399,2880.75511302
1515571200,13767.5887,4715.36247312
1515578400,13949.6056,3092.50100336
1515585600,13910.2317,1593.44279344
1515592800,14303.4068,1282.76719344
1515600000,14513.8573,2368.5162907
1515607200,14319.9388,1944.1812819
1515614400,14490.6322,924.37126814
1515621600,14871.9635,2030.18374118
1515628800,14464.2817,3104.07378076
1515636000,13084.6216,6161.01084436
1515643200,13024.4804,12355.10954784
1515650400,13509.9999,5338.90437258
1515657600,13483.7894,3313.84304718
1515664800,13466.5201,3349.43862744
1515672000,13784.0003,3480.82122454
1515679200,13983.5053,4619.72789386
1515686400,13642.7101,2171.30102988
1515693600,13392.0899,1780.05633958
1515700800,13423.1391,1740.6762783
1515708000,13288.5838,2629.27097054
1515715200,13461.9611,3428.67234288
1515722400,13693.0802,2881.92207632
1515729600,13542.53,2551.91837234
1515736800,13674.8398,2622.01137428
1515744000,13479.6238,2890.75652994
1515751200,13867.8619,4034.55520992
1515758400,13766.172,3601.31637074
1515765600,13383.8585,3868.44055292
1515772800,13486.2501,3354.78973334
1515780000,13665.4071,2186.72101118
1515787200,13655.5908,1381.98245994
1515794400,13739.5995,1799.66300204
1515801600,14103.1693,5423.22156326
1515808800,14024.28,2661.203198
1515816000,14053.0029,3091.08002114
1515823200,14274.0188,3672.9624508
1515830400,14207.2528,2897.69954508
1515837600,14214.1733,3225.15653264
1515844800,14496.661,2961.93703962
1515852000,14274.6299,4243.5380131
